,0
282,1665.8649
283,1665.6809
284,1671.9531
285,1671.1301
286,1675.3911
287,1674.4436
288,1671.0701
289,1673.4739
290,1670.2048
291,1670.696
292,1671.8904
293,1666.5239
294,1663.0902
295,1660.221
296,1662.9866
297,1669.8783
298,1669.2557
299,1668.2917
300,1665.8595
301,1664.7058
302,1665.8605
303,1666.2083
304,1667.741
305,1666.5425
306,1668.6602
307,1670.8104
308,1668.8744
309,1670.3649
310,1672.7468
311,1674.2494
312,1677.711
313,1677.4553
314,1677.854
315,1677.9357
316,1677.9612
317,1676.8694
318,1677.3464
319,1677.9172
320,1676.5219
321,1678.4241
322,1679.1857
323,1679.8762
324,1679.321
325,1680.4731
326,1680.4458
327,1678.7074
328,1679.1825
329,1678.7909
330,1679.4294
331,1679.7451
332,1669.2496
333,1661.3743
334,1658.0851
335,1657.6741
336,1658.4583
337,1657.8901
338,1661.4093
339,1659.8406
340,1657.6184
341,1650.6211
342,1652.8799
343,1652.3682
344,1658.1897
345,1659.4354
346,1657.628
347,1661.6951
348,1661.4105
349,1663.5947
350,1667.0406
351,1662.5798
352,1663.1797
353,1664.5015
354,1660.8186
355,1658.1416
356,1655.2369
357,1652.5646
358,1654.8082
359,1653.3281
360,1653.9937
361,1652.2815
362,1654.8151
363,1657.35
364,1658.5625
365,1657.5444
366,1654.1838
367,1653.0469
368,1652.3722
369,1654.5281
370,1651.9778
371,1651.5847
372,1652.5251
373,1650.0496
374,1649.2073
375,1649.7715
376,1652.8398
377,1654.2312
378,1653.8132
379,1653.2832
380,1653.1952
381,1652.345
382,1649.7192
383,1646.3053
384,1645.4766
385,1640.6635
386,1644.6438
387,1644.9781
388,1635.8113
389,1634.7039
390,1638.1403
391,1642.5051
392,1638.1241
393,1636.1682
394,1633.4181
395,1630.4268
396,1629.9724
397,1628.7383
398,1629.9983
399,1621.6317
400,1617.0948
401,1620.1235
402,1626.0358
403,1623.6306
404,1617.5562
405,1615.1522
406,1611.0492
407,1609.0206
408,1604.0468
409,1594.699
410,1608.1996
411,1606.8329
412,1615.2539
413,1620.6974
414,1619.7555
415,1621.8185
416,1621.6011
417,1616.4222
418,1616.1365
419,1611.2861
420,1610.6342
421,1617.8413
422,1619.2296
423,1621.1322
424,1621.7434
425,1622.1873
426,1625.1449
427,1624.6166
428,1628.6151
429,1628.6848
430,1628.226
431,1622.4004
432,1619.6318
433,1619.5701
434,1624.468
435,1623.4727
436,1619.2069
437,1618.3083
438,1621.1997
439,1613.71
440,1620.7584
441,1625.9517
442,1632.512
443,1635.8124
444,1639.028
445,1639.4067
446,1642.4818
447,1637.938
448,1636.1455
449,1639.0458
450,1636.3936
451,1641.0979
452,1645.6953
453,1646.2595
454,1650.4924
455,1645.6255
456,1641.2568
457,1642.9219
458,1637.4958
459,1637.6079
460,1633.696
461,1630.0002
462,1634.1404
463,1631.5276
464,1629.136
465,1625.5165
466,1620.0337
467,1612.7435
468,1608.9342
469,1599.0745
470,1592.1407
471,1592.3926
472,1601.6815
473,1587.2286
474,1586.7888
475,1585.7693
476,1557.747
477,1545.0693
478,1529.943
479,1553.3369
480,1567.74
481,1562.427
482,1559.853
483,1558.4972
484,1575.5884
485,1578.0057
486,1584.3844
487,1587.6279
488,1586.6786
489,1587.092
490,1584.8566
491,1589.7573
492,1576.0605
493,1571.2799
494,1568.8185
495,1575.3512
496,1577.445
497,1565.8525
498,1570.9386
499,1565.1111
500,1562.3519
501,1564.3302
502,1571.3676
503,1565.185
504,1560.0427
505,1557.2925
506,1552.7378
507,1560.3486
508,1556.7362
509,1558.8855
510,1562.5425
511,1566.56
512,1573.8745
513,1566.5302
514,1566.9908
515,1565.2743
516,1567.2317
517,1569.0664
518,1565.6328
519,1563.9163
520,1560.1506
521,1561.9742
522,1564.5438
523,1566.413
524,1594.0696
525,1588.7623
526,1598.1936
527,1597.0754
528,1595.9294
529,1593.0029
530,1596.7506
531,1604.1425
532,1606.5359
533,1608.3899
534,1602.7723
535,1601.3267
536,1603.4713
537,1603.198
538,1605.2673
539,1606.233
540,1607.4691
541,1613.7526
542,1613.7881
543,1617.0391
544,1618.8951
545,1615.9263
546,1613.2009
547,1613.8066
548,1618.2935
549,1618.203
550,1616.3713
551,1616.4254
552,1618.7461
553,1618.0771
554,1620.6863
555,1620.7681
556,1622.5554
557,1621.8042
558,1621.6747
559,1622.4143
560,1622.4032
561,1622.9377
562,1624.5554
563,1625.2037
564,1625.5029
565,1618.2961
566,1616.023
567,1615.1125
568,1615.6185
569,1617.8853
570,1618.7104
571,1618.9862
572,1600.4231
573,1596.5685
574,1605.3918
575,1605.1178
576,1595.5896
577,1594.8362
578,1594.161
579,1598.8085
580,1602.5624
581,1596.6914
582,1599.7352
583,1599.478
584,1604.2168
585,1605.8219
586,1605.487
587,1614.5399
588,1609.2206
589,1615.004
590,1616.6692
591,1617.4314
592,1614.3722
593,1613.8647
594,1609.0132
595,1610.1211
596,1606.3608
597,1605.2194
598,1598.1897
599,1599.8077
600,1601.0242
601,1596.5103
602,1600.2716
603,1598.4132
604,1601.415
605,1603.0188
606,1607.2567
607,1606.4099
608,1610.4846
609,1611.3209
610,1613.475
611,1614.356
612,1613.5348
613,1613.3135
614,1616.7316
615,1616.2959
616,1616.362
